danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.421,0.95,-4.603,0.0662,0.00145,1.1e-05,0.245,0.472,160.02,7MfNoHB8JRNbSQ8P3eAfMQ,192120
0.423,0.969,-4.633,0.0539,0.084,0.00305,0.344,0.86,97.412,29jQi2gE949GnDMcA1NS2w,177373
0.641,0.73,-6.877,0.0307,0.000858,0.122,0.287,0.34,87.991,4wavvLf7CTGjyYL33GQ04T,194693
0.475,0.836,-5.446,0.0529,0.0175,0.0,0.104,0.723,123.144,3wf3jWAQHsnPNfUtNSQvkz,180173
0.637,0.724,-5.151,0.0403,0.119,0.0,0.299,0.414,80.982,2zsWRxMcUdGjj8TnWkVKw0,176787
0.683,0.866,-3.534,0.128,0.127,4.84e-06,0.0631,0.672,119.866,4I2ENHg65RuKifEHdD0kMu,214200
0.648,0.931,-3.15,0.181,0.00937,0.0,0.752,0.744,153.649,2ygMBIctKIAfbEBcT9065L,213067
0.66,0.765,-7.121,0.245,0.227,0.0,0.376,0.771,151.073,39SQnz9u6zd91nZdaPmmJK,208600
0.603,0.933,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306,3IV4swNduIRunHREK80owz,213760
0.496,0.913,-3.286,0.0449,0.0101,0.0,0.118,0.675,165.986,1SeefzwSDiFCjRWaBslRIj,189418
0.718,0.865,-5.151,0.0327,0.158,0.0,0.182,0.573,125.968,69IIcNfvnE1BoYaR7gmih9,206000
0.688,0.925,-4.338,0.0366,0.1,0.0,0.0401,0.623,123.984,4DEakFTIhXT6JFyCsQUffd,185807
0.683,0.772,-7.907,0.0311,0.0222,0.0149,0.203,0.737,123.871,2IHaGyfxNoFPLJnaEg4GTs,270373
0.679,0.557,-7.423,0.0281,0.0904,0.0324,0.0866,0.405,85.152,6vUPPEN2V2lZ78b6DyEIjZ,303133
0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000
0.654,0.799,-6.219,0.0407,0.0323,0.00109,0.259,0.489,82.052,3mvL58vGdP0rVP1T9gXcFY,264293
0.776,0.867,-3.704,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,1OOtq8tRnDM8kG2gqUPjAj,258040
0.716,0.838,-4.289,0.0513,0.134,0.0,0.148,0.646,130.034,3bfqkspKABT4pPicm6wC9F,222213
0.543,0.912,-10.71,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,4ePP9So5xRzspjLFVVbj90,256733
0.716,0.821,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997,6cpk00i5TxCqSeqNi2HuIe,219547
0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997,5rX6C5QVvvZB7XckETNych,297587
0.463,0.813,-7.219,0.244,0.216,1.31e-06,0.0649,0.695,93.331,70RMVzexrIvYJiFEnuGymb,306813
0.529,0.934,-4.808,0.0602,0.00153,5.16e-06,0.118,0.282,127.962,3DelzIn0lPwX4PeOJk9zDF,241960
0.75,0.896,-1.923,0.289,0.142,0.0,0.111,0.588,125.928,0UHLTeViw9OL10Th3x3YwQ,219147
0.615,0.949,-1.682,0.0463,0.0175,4.72e-05,0.332,0.555,127.021,3lVoMDiuzWhYjnfU062PWJ,186000
0.722,0.872,-3.3,0.129,0.0274,3.09e-05,0.223,0.635,103.198,3fqrT5xsadwnttDhYNs0Oc,225480
0.761,0.915,-3.019,0.195,0.0146,0.0,0.332,0.402,99.024,4HYc74wPEfUAhlQFm4fZHa,204533
0.637,0.506,-10.019,0.0336,0.0379,0.000196,0.35,0.321,80.009,4jnbZzUafAPjRyACkkMg9q,244673
0.851,0.849,-3.383,0.0828,0.497,2.05e-06,0.116,0.844,120.014,4XHQyvbrBsQaaBUW1VvmsL,298773
0.51,0.785,-3.096,0.0495,0.0284,0.0,0.167,0.155,129.068,0SWR0r19WhdCRFzkxBlYJW,213853
0.775,0.906,-1.941,0.159,0.034,0.0,0.0927,0.949,128.678,5BK7ny1LUJRMuXt3ZEN8rw,245643
0.858,0.798,-4.062,0.0648,0.313,3.89e-06,0.316,0.353,100.039,4jGE3Ct8rgMZQgJshj5Bdp,167053
0.546,0.898,-3.938,0.232,0.00158,6.43e-06,0.229,0.466,130.002,7KPr0YxECy4Q1k2F17Sa0Q,210840
0.706,0.89,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,2LEF1A8DOZ9wRYikWgVlZ8,248133
0.886,0.694,-5.656,0.105,0.043,0.752,0.0524,0.407,127.989,1EHnnWaL4XjvKFzzD8cCLf,347075
0.606,0.883,-3.243,0.0423,0.00872,0.0,0.0698,0.608,128.053,5pmL3RzOy3IvGFaSDi4hZL,244907
0.567,0.892,-4.886,0.0312,0.00171,0.0,0.281,0.749,128.007,60G8bwo0fg6GNrkQnxcST3,201781
0.366,0.94,-5.119,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,5FZxsHWIvUsmSK1IAvm2pp,255627
0.805,0.765,-2.92,0.0925,0.126,0.0,0.043,0.836,85.285,2u9v2LS9eZJkNBf6BVrhYs,235133
0.929,0.463,-8.651,0.308,0.142,5.26e-06,0.0634,0.757,124.084,7BfW1eoDh27W69nxsmRicb,255840
0.546,0.742,-7.34,0.0812,0.201,0.0,0.127,0.603,191.516,3xFWmNLkqRjo08IOj1UTW8,216107
0.697,0.835,-5.843,0.0912,0.00578,0.0,0.314,0.832,128.018,6Uj8ru7TNLDIelbuQ8eBd6,201387
0.715,0.907,-6.025,0.0993,0.0172,8.39e-05,0.426,0.841,124.992,2WQ09wqQBIOor7Q0VpIDBK,268840
0.689,0.836,-6.058,0.0559,0.187,0.0,0.162,0.749,127.411,1zneM1cLjM6w8BFmukl2Lr,223067
0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032,4gbVRS8gloEluzf0GzDOFc,189960
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,5vlEg2fT4cFWAqU5QptIpQ,182307
0.647,0.749,-5.019,0.0478,0.0386,0.0,0.298,0.659,76.84,3Ju48PMNQkAGxjJCbWcfeM,223507
0.736,0.718,-3.605,0.0299,0.206,0.0,0.186,0.682,130.057,1TEXhp3NMV9U3xvWFZy5Xq,194080
0.731,0.813,-7.366,0.065,0.00439,3.5e-06,0.26,0.497,130.028,4uGucgzv0ydi35DgAlsTQ4,208920
0.646,0.766,-4.267,0.0357,0.0179,3.25e-06,0.117,0.504,153.037,4yC13Abhvi0g7cbifn2q0J,182000
0.752,0.921,-4.321,0.0696,0.0182,0.0,0.256,0.634,115.033,6AdLyvisRKHLAwARaZMGr6,236693
0.724,0.865,-3.823,0.0425,0.0406,0.0,0.143,0.901,127.993,3Om11CroNoIfIiQand4KJe,192387
0.599,0.823,-6.756,0.0385,0.011,0.0209,0.162,0.471,143.849,4WSYdCDpCMEeyUAoOJmKyr,285653
0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,1G391cbiT3v3Cywg8T7DM1,215907
0.851,0.629,-8.385,0.175,0.00705,0.000372,0.0746,0.789,125.984,6Rb0ptOEjBjPPQUlQtQGbL,237640
0.834,0.481,-7.824,0.188,0.0732,0.0,0.0934,0.406,89.849,4bUfMNNmiCmPXVyWzIfKeZ,285907
0.602,0.752,-4.48,0.064,0.00969,0.0,0.158,0.562,86.011,0nOFRbiftNe7TTPtpobeXt,189773
0.719,0.616,-3.951,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,7z73ehYAn9O1XP9XlCqVtd,200880
0.376,0.841,-4.348,0.356,0.0435,0.0,0.578,0.463,76.052,1kMuU3TNQvHbqvXCWBodmP,271947
0.707,0.865,-4.553,0.116,0.182,0.0,0.0835,0.326,93.123,1pdXNiUyh8qCNpIfEdqvHU,214822
0.666,0.895,-4.667,0.0293,0.0147,0.0,0.439,0.83,123.716,0UVIXwqfTjefBbDyY60MWB,150773
0.633,0.886,-3.892,0.0456,0.109,0.0,0.0438,0.753,81.811,20117nklRrpujknMRpueYQ,247827
0.629,0.855,-5.593,0.0568,0.108,0.0,0.198,0.963,96.039,2RKmGDTq840oLpKC0WOaCr,184400
0.68,0.857,-4.132,0.0373,0.0151,2.88e-05,0.056,0.794,95.349,2RQ3fWFZJJe4G5KkHEACww,285160
0.675,0.775,-5.772,0.0522,0.0387,0.0,0.383,0.933,99.945,5ZsPy9wHH733NlU6c4v2Hi,217853
0.454,0.861,-4.995,0.0399,0.00318,0.0263,0.104,0.546,128.001,5a6kWsBE18KAJGG3gF2nUU,217586
0.503,0.858,-6.296,0.0657,0.00757,0.00234,0.0803,0.419,133.615,5NLuC70kZQv8q34QyQa1DP,208653
0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,5FVd6KXrgO9B3JPmC8OPst,272394
0.678,0.608,-5.924,0.0276,0.192,0.000926,0.1,0.725,80.52,2O8EVtQtfsKBABn0hOxs8Y,205467
0.458,0.895,-3.972,0.0681,0.000219,0.000394,0.106,0.357,130.327,5u6fnmRO5V0PTl5M2Eekeu,243200
0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046,305WCRhhS10XUcH6AEwZk6,213800
0.557,0.814,-4.469,0.0872,0.0114,7.97e-05,0.345,0.616,127.969,12HgZnRqGPwIZJD0gPsUor,234053
0.805,0.618,-3.906,0.0833,0.0993,0.0,0.259,0.725,93.03,7mVMUbYndLJ6ubMhsUkHE4,219733
0.714,0.846,-2.802,0.0787,0.00146,0.0,0.682,0.634,141.976,2lD4LsB3iQVnddkVM2RFAl,267173
